id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
24,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
25,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
124,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
128,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,10.3 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.91 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
149,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
150,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
151,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
152,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
153,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
154,16 Cygni B b,69,1.78 Jupiters,6.215,1996
155,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
156,18 Delphini b,249,10.3 Jupiters,5.51048,2008
157,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
158,24 Bootis b,313,0.91 Jupiters,5.59,2018
159,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
160,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
161,2M0437 b,419,4 Jupiters,16.186,2021
162,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
163,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
164,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
165,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
166,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
167,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
168,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
169,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
170,42 Draconis b,296,3.88 Jupiters,4.8262,2008
171,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
172,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
173,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
174,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
175,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
176,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
177,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
178,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
179,16 Cygni B b,69,1.78 Jupiters,6.215,1996
180,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
181,18 Delphini b,249,10.3 Jupiters,5.51048,2008
182,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
183,24 Bootis b,313,0.91 Jupiters,5.59,2018
184,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
185,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
186,2M0437 b,419,4 Jupiters,16.186,2021
187,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
188,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
189,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
190,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
191,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
192,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
193,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
194,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
195,42 Draconis b,296,3.88 Jupiters,4.8262,2008
196,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
197,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
198,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
199,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
200,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
201,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
202,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
203,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
204,16 Cygni B b,69,1.78 Jupiters,6.215,1996
205,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
206,18 Delphini b,249,10.3 Jupiters,5.51048,2008
207,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
208,24 Bootis b,313,0.91 Jupiters,5.59,2018
209,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
210,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
211,2M0437 b,419,4 Jupiters,16.186,2021
212,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
213,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
214,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
215,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
216,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
217,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
218,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
219,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
220,42 Draconis b,296,3.88 Jupiters,4.8262,2008
221,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
222,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
223,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
224,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
225,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
226,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
227,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
228,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
229,16 Cygni B b,69,1.78 Jupiters,6.215,1996
230,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
231,18 Delphini b,249,10.3 Jupiters,5.51048,2008
232,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
233,24 Bootis b,313,0.91 Jupiters,5.59,2018
234,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
235,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
236,2M0437 b,419,4 Jupiters,16.186,2021
237,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
238,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
239,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
240,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
241,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
242,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
243,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
244,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
245,42 Draconis b,296,3.88 Jupiters,4.8262,2008
246,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
247,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
248,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
249,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
250,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
251,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
252,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
253,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
254,16 Cygni B b,69,1.78 Jupiters,6.215,1996
255,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
256,18 Delphini b,249,10.3 Jupiters,5.51048,2008
257,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
258,24 Bootis b,313,0.91 Jupiters,5.59,2018
259,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
260,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
261,2M0437 b,419,4 Jupiters,16.186,2021
262,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
263,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
264,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
265,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
266,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
267,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
268,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
269,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
270,42 Draconis b,296,3.88 Jupiters,4.8262,2008
271,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
272,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
273,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
274,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
275,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
276,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
277,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
278,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
279,16 Cygni B b,69,1.78 Jupiters,6.215,1996
280,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
281,18 Delphini b,249,10.3 Jupiters,5.51048,2008
282,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
283,24 Bootis b,313,0.91 Jupiters,5.59,2018
284,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
285,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
286,2M0437 b,419,4 Jupiters,16.186,2021
287,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
288,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
289,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
290,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
291,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
292,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
293,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
294,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
295,42 Draconis b,296,3.88 Jupiters,4.8262,2008
296,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
297,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
298,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
299,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
300,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
301,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
302,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
303,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
304,16 Cygni B b,69,1.78 Jupiters,6.215,1996
305,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
306,18 Delphini b,249,10.3 Jupiters,5.51048,2008
307,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
308,24 Bootis b,313,0.91 Jupiters,5.59,2018
309,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
310,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
311,2M0437 b,419,4 Jupiters,16.186,2021
312,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
313,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
314,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
315,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
316,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
317,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
318,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
319,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
320,42 Draconis b,296,3.88 Jupiters,4.8262,2008
321,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
322,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
323,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
324,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
325,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
326,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
327,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
328,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
329,16 Cygni B b,69,1.78 Jupiters,6.215,1996
330,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
331,18 Delphini b,249,10.3 Jupiters,5.51048,2008
332,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
333,24 Bootis b,313,0.91 Jupiters,5.59,2018
334,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
335,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
336,2M0437 b,419,4 Jupiters,16.186,2021
337,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
338,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
339,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
340,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
341,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
342,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
343,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
344,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
345,42 Draconis b,296,3.88 Jupiters,4.8262,2008
346,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
347,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
348,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
349,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
350,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
351,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
352,BD-06 1339 b,66,8.5 Earths,9.7,2013
353,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
354,BD-08 2823 b,135,12.7132 Earths,9.86,2009
355,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
356,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
357,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
358,BD-11 4672 c,89,15.37 Earths,10.03,2020
359,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
360,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
361,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
362,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
363,BD-17 63 b,112,5.1 Jupiters,9.62,2008
364,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
365,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
366,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
367,BD+20 594 b,585,22.2481 Earths,10.849,2016
368,BD+45 564 b,175,1.36 Jupiters,9.67,2021
369,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
370,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
371,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
372,BD+55 362 b,171,0.72 Jupiters,9.38,2021
373,BD+60 1417 b,147,15 Jupiters,9.374,2021
374,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
375,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
376,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
377,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
378,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
379,CD Ceti b,28,3.95 Earths,13.95,2020
380,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
381,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
382,CHXR 73 b,621,12.569 Jupiters,17.2934,2006
383,CI Tauri b,515,11.6 Jupiters,13.642,2019
384,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
385,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
386,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
387,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
388,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
389,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
390,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
391,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
392,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
393,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
394,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
395,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
396,CoRoT-20 c,2753,17 Jupiters,14.63,2018
397,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
398,CoRoT-22 b,2046,12.2 Earths,13.82,2014
399,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
400,CoRoT-24 b,1930,5.7 Earths,15.383,2014
401,CoRoT-24 c,1930,28 Earths,15.383,2014
402,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
403,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
404,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
405,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
406,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
407,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
408,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
409,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
410,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
411,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
412,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
413,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
414,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
415,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
416,CoRoT-7 b,522,4.07661 Earths,11.728,2009
417,CoRoT-7 c,522,8.4 Earths,11.728,2009
418,CoRoT-7 d,522,17.142 Earths,11.728,2022
419,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
420,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
421,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
422,CT Chamaleontis b,622,17 Jupiters,12.335,2007
423,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
424,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
425,CoRoT-24 b,1930,5.7 Earths,15.383,2014
426,CoRoT-24 c,1930,28 Earths,15.383,2014
427,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
428,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
